Sample	Mut_Rate	Fitness	Nodes	Leaves	Tree_Score
Clonal_evolution_10434138.dat	0.000080000000	0.050000000000	2	1	0.000000
Clonal_evolution_10434677.dat	0.000080	0.005000	3	2	0.500000
Clonal_evolution_10442280.dat	0.000000900000	0.004000000000	1	1	0.000000
Clonal_evolution_10444479.dat	0.000000500000	0.001000000000	2	1	0.000000
Clonal_evolution_10446804.dat	0.000006000000	0.000800000000	4	3	0.666667
Clonal_evolution_10452627.dat	0.000000600000	0.500000000000	1	1	0.000000
Clonal_evolution_10454978.dat	0.000005000000	0.000100000000	5	3	0.500000
Clonal_evolution_10459253.dat	0.000007000000	0.003000000000	2	1	0.000000
Clonal_evolution_10466888.dat	0.000005000000	0.006000000000	1	1	0.000000
Clonal_evolution_10470667.dat	0.000010000000	0.001000000000	2	1	0.000000
Clonal_evolution_1047248.dat	0.000000200000	0.007000000000	1	1	0.000000
Clonal_evolution_10474665.dat	0.000100000000	0.050000000000	1	1	0.000000
Clonal_evolution_10475239.dat	0.000000900000	0.000300000000	1	1	0.000000
Clonal_evolution_10479325.dat	0.000060000000	0.000100000000	11	6	0.833333
Clonal_evolution_10479728.dat	0.000090000000	0.000100000000	9	4	0.750000
Clonal_evolution_10484756.dat	0.000000700000	0.900000000000	1	1	0.000000
Clonal_evolution_10486725.dat	0.000040000000	0.010000000000	4	3	0.666667
Clonal_evolution_10491507.dat	0.000001	0.000200	1	1	0.000000
Clonal_evolution_10492315.dat	0.000000500000	0.010000000000	1	1	0.000000
Clonal_evolution_10498323.dat	0.000006000000	0.050000000000	1	1	0.000000
Clonal_evolution_10499283.dat	0.000060000000	0.000800000000	8	6	0.833333
Clonal_evolution_10502365.dat	0.000002000000	0.000700000000	1	1	0.000000
Clonal_evolution_10506660.dat	0.000070000000	0.000300000000	7	2	0.416667
Clonal_evolution_10507839.dat	0.000040000000	0.000100000000	10	5	0.711111
Clonal_evolution_10511713.dat	0.000008000000	0.002000000000	1	1	0.000000
Clonal_evolution_10511799.dat	0.000400000000	0.000800000000	7	5	0.800000
Clonal_evolution_10514580.dat	0.000060000000	0.006000000000	4	3	0.666667
Clonal_evolution_10527457.dat	0.000005000000	0.007000000000	2	1	0.000000
Clonal_evolution_10528976.dat	0.000000200000	0.004000000000	1	1	0.000000
Clonal_evolution_10530225.dat	0.000060000000	0.000800000000	7	5	0.766667
Clonal_evolution_10532290.dat	0.000003000000	0.009000000000	1	1	0.000000
Clonal_evolution_10534115.dat	0.000006000000	0.002000000000	1	1	0.000000
Clonal_evolution_10535897.dat	0.000008000000	0.050000000000	1	1	0.000000
Clonal_evolution_10539175.dat	0.000000300000	0.004000	1	1	0.000000
Clonal_evolution_10539342.dat	0.000005000000	0.003000000000	1	1	0.000000
Clonal_evolution_10543015.dat	0.000000600000	0.006000	1	1	0.000000
Clonal_evolution_10544108.dat	0.000004000000	0.000100000000	6	4	0.650000
Clonal_evolution_10553576.dat	0.000020000000	0.004000000000	3	2	0.500000
Clonal_evolution_10561227.dat	0.000050000000	0.002000000000	4	2	0.333333
Clonal_evolution_10562499.dat	0.000001000000	0.002000000000	2	1	0.000000
Clonal_evolution_10565029.dat	0.000050000000	0.100000000000	1	1	0.000000
Clonal_evolution_10567457.dat	0.000000600000	0.010000000000	1	1	0.000000
Clonal_evolution_1057000.dat	0.000001000000	0.000700000000	1	1	0.000000
Clonal_evolution_10570462.dat	0.000000500000	0.050000000000	1	1	0.000000
Clonal_evolution_1057472.dat	0.000002000000	0.010000000000	1	1	0.000000
Clonal_evolution_10581764.dat	0.000090000000	0.100000000000	3	2	0.500000
Clonal_evolution_10587736.dat	0.000020000000	0.001000000000	8	7	0.857143
Clonal_evolution_10596199.dat	0.000003000000	0.002000000000	1	1	0.000000
Clonal_evolution_10597792.dat	0.000080000000	0.000100000000	7	3	0.611111
Clonal_evolution_10598164.dat	0.000020000000	0.000400000000	5	4	0.750000
Clonal_evolution_10599218.dat	0.000004000000	0.000800000000	3	2	0.500000
Clonal_evolution_10600295.dat	0.000000800000	0.002000000000	1	1	0.000000
Clonal_evolution_10603530.dat	0.000000400000	0.003000000000	2	1	0.000000
Clonal_evolution_10604059.dat	0.000030000000	0.000300000000	10	7	0.857143
Clonal_evolution_10604458.dat	0.000007000000	0.003000000000	3	2	0.500000
Clonal_evolution_10606209.dat	0.000000200000	0.000400000000	1	1	0.000000
Clonal_evolution_10607785.dat	0.000002000000	0.000500000000	1	1	0.000000
Clonal_evolution_10616441.dat	0.000070000000	0.000900000000	5	4	0.750000
Clonal_evolution_1061776.dat	0.000000800000	0.000900000000	1	1	0.000000
Clonal_evolution_10619307.dat	0.000040000000	0.000700000000	6	4	0.750000
Clonal_evolution_10619846.dat	0.000009000000	0.000300000000	3	1	0.000000
Clonal_evolution_10622067.dat	0.000030000000	0.007000000000	3	2	0.500000
Clonal_evolution_10624298.dat	0.000000100000	0.003000000000	1	1	0.000000
Clonal_evolution_10624584.dat	0.000003000000	0.009000000000	1	1	0.000000
Clonal_evolution_10627257.dat	0.000009000000	0.004000000000	1	1	0.000000
Clonal_evolution_10628908.dat	0.000800000000	0.000300000000	1	1	0.000000
Clonal_evolution_10630529.dat	0.000010000000	0.000800000000	2	1	0.000000
Clonal_evolution_10633822.dat	0.000000800000	0.001000000000	1	1	0.000000
Clonal_evolution_10634302.dat	0.000001000000	0.500000000000	1	1	0.000000
Clonal_evolution_10638426.dat	0.000030000000	0.007000	2	1	0.000000
Clonal_evolution_10638595.dat	0.000000500000	0.009000000000	1	1	0.000000
Clonal_evolution_10642645.dat	0.000000600000	0.000200000000	1	1	0.000000
Clonal_evolution_10643175.dat	0.000008000000	0.000800000000	4	3	0.666667
Clonal_evolution_10645440.dat	0.000007000000	0.006000000000	1	1	0.000000
Clonal_evolution_10653113.dat	0.000001000000	0.000700000000	1	1	0.000000
Clonal_evolution_10653365.dat	0.000000400000	0.010000000000	1	1	0.000000
Clonal_evolution_1065342.dat	0.000003000000	0.000700000000	2	1	0.000000
Clonal_evolution_10653459.dat	0.000000600000	0.002000000000	1	1	0.000000
Clonal_evolution_1065398.dat	0.000000700000	0.500000000000	1	1	0.000000
Clonal_evolution_10654056.dat	0.000000800000	0.006000	1	1	0.000000
Clonal_evolution_10655606.dat	0.000004000000	0.002000000000	1	1	0.000000
Clonal_evolution_10656696.dat	0.000001000000	0.007000000000	1	1	0.000000
Clonal_evolution_10658616.dat	0.000000700000	0.500000000000	1	1	0.000000
Clonal_evolution_10658728.dat	0.000005000000	0.002000000000	2	1	0.000000
Clonal_evolution_10660225.dat	0.000003000000	0.100000000000	1	1	0.000000
Clonal_evolution_10660303.dat	0.000060000000	0.000700000000	8	6	0.809524
Clonal_evolution_10660884.dat	0.000005000000	0.000400000000	2	1	0.000000
Clonal_evolution_10661168.dat	0.001000000000	0.500000000000	1	1	0.000000
Clonal_evolution_10661765.dat	0.000020000000	0.500000000000	1	1	0.000000
Clonal_evolution_10661903.dat	0.000080000000	0.100000000000	2	1	0.000000
Clonal_evolution_10663137.dat	0.000003000000	0.100000000000	1	1	0.000000
Clonal_evolution_10672938.dat	0.000010000000	0.002000000000	2	1	0.000000
Clonal_evolution_10675720.dat	0.000050000000	0.900000000000	1	1	0.000000
Clonal_evolution_10678686.dat	0.000009000000	0.002000000000	2	1	0.000000
Clonal_evolution_10680022.dat	0.000004000000	0.000200000000	1	1	0.000000
Clonal_evolution_10680359.dat	0.000000100000	0.100000000000	1	1	0.000000
Clonal_evolution_10681633.dat	0.000000200000	0.000600000000	1	1	0.000000
Clonal_evolution_10685243.dat	0.001000000000	0.009000000000	4	1	0.000000
Clonal_evolution_10685692.dat	0.000009000000	0.000700000000	2	1	0.000000
Clonal_evolution_10687467.dat	0.000009000000	0.500000000000	1	1	0.000000
Clonal_evolution_1068839.dat	0.000010000000	0.003000000000	1	1	0.000000
Clonal_evolution_10689289.dat	0.000000200000	0.100000000000	1	1	0.000000
Clonal_evolution_10691233.dat	0.000030000000	0.010000000000	1	1	0.000000
Clonal_evolution_10693059.dat	0.000001000000	0.100000000000	1	1	0.000000
Clonal_evolution_10693514.dat	0.000000600000	0.900000000000	1	1	0.000000
Clonal_evolution_10693706.dat	0.000000900000	0.010000000000	1	1	0.000000
Clonal_evolution_10693718.dat	0.000000500000	0.007000000000	1	1	0.000000
Clonal_evolution_10695671.dat	0.000080000000	0.000500000000	11	6	0.800000
Clonal_evolution_10698692.dat	0.000020000000	0.000200000000	5	3	0.500000
